epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3174.83,0.50526,0.16482,0.00146,0.99129,0.99137,0.99478,0.92249,0.45211,0.15039,0.00155,0.000848969,0.000848969,0.000848969
43,3246.65,0.50195,0.16368,0.00142,0.99492,0.99314,0.99478,0.92349,0.45927,0.14479,0.00158,0.000834822,0.000834822,0.000834822
44,3316.46,0.49874,0.1567,0.00143,0.99562,0.99446,0.99485,0.92479,0.46015,0.14345,0.00158,0.000820675,0.000820675,0.000820675
45,3385.3,0.49306,0.15773,0.00139,0.99575,0.99321,0.99491,0.92927,0.44859,0.1421,0.00155,0.000806528,0.000806528,0.000806528
46,3455.53,0.49305,0.16306,0.0014,0.9959,0.99072,0.99489,0.92958,0.44551,0.14419,0.00154,0.00079238,0.00079238,0.00079238
47,3524.92,0.49685,0.15806,0.00142,0.99552,0.99462,0.99493,0.92857,0.44815,0.13807,0.00156,0.000778233,0.000778233,0.000778233
48,3593.96,0.4946,0.15895,0.00143,0.99545,0.99431,0.99492,0.92876,0.44103,0.13901,0.00152,0.000764086,0.000764086,0.000764086
49,3663.76,0.48996,0.15615,0.00142,0.99457,0.9939,0.99491,0.92911,0.4407,0.1385,0.00152,0.000749939,0.000749939,0.000749939
50,3733.94,0.48663,0.15429,0.00139,0.99324,0.99324,0.99489,0.92721,0.44985,0.14059,0.00156,0.000735792,0.000735792,0.000735792
51,3804.11,0.48129,0.15203,0.00135,0.99518,0.99355,0.9949,0.92987,0.44233,0.13912,0.00153,0.000721645,0.000721645,0.000721645
52,3872.96,0.48074,0.15458,0.00138,0.99613,0.99296,0.99489,0.92858,0.44681,0.13991,0.00154,0.000707498,0.000707498,0.000707498
53,3943.88,0.47811,0.15543,0.00136,0.99433,0.99431,0.99492,0.92834,0.4499,0.1404,0.00157,0.000693351,0.000693351,0.000693351
54,4013.48,0.48042,0.15315,0.00135,0.9946,0.99383,0.99491,0.93393,0.43555,0.13624,0.0015,0.000679204,0.000679204,0.000679204
55,4083.71,0.47326,0.15,0.00135,0.99586,0.99232,0.99491,0.93269,0.43582,0.13972,0.0015,0.000665057,0.000665057,0.000665057
56,4152.65,0.47601,0.15231,0.00136,0.99656,0.99079,0.99491,0.93243,0.43755,0.13898,0.00151,0.000650909,0.000650909,0.000650909
57,4224.05,0.47823,0.15199,0.00135,0.99543,0.99319,0.99492,0.92526,0.45952,0.14246,0.00158,0.000636762,0.000636762,0.000636762
58,4293.76,0.48168,0.15067,0.00136,0.99584,0.99297,0.99477,0.93252,0.43837,0.14124,0.00152,0.000622615,0.000622615,0.000622615
59,4363.22,0.46864,0.14998,0.00133,0.99493,0.99266,0.9948,0.93081,0.4426,0.14164,0.00152,0.000608468,0.000608468,0.000608468
60,4434.45,0.46189,0.14766,0.00131,0.99672,0.99282,0.99484,0.93416,0.43449,0.14006,0.0015,0.000594321,0.000594321,0.000594321
61,4503.82,0.47101,0.14656,0.00135,0.99528,0.99315,0.99476,0.93379,0.43806,0.14014,0.00152,0.000580174,0.000580174,0.000580174
